system_name,scenario,condition,response,malformed
meta-llama/Llama-3.1-8B-Instruct,vehicles,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,vehicles,overinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,vehicles,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,vehicles,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,sleep,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,sleep,overinclusion,NO,False
meta-llama/Llama-3.1-8B-Instruct,sleep,underinclusion,NO,False
meta-llama/Llama-3.1-8B-Instruct,sleep,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,driving,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,driving,overinclusion,NO,False
meta-llama/Llama-3.1-8B-Instruct,driving,underinclusion,NO,False
meta-llama/Llama-3.1-8B-Instruct,driving,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,library,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,library,overinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,library,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,library,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,classroom,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,classroom,overinclusion,NO,False
meta-llama/Llama-3.1-8B-Instruct,classroom,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,classroom,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,shoes,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,shoes,overinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,shoes,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,shoes,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,environment,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,environment,overinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,environment,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,environment,compliance,NO,False
meta-llama/Llama-3.1-8B-Instruct,music,violation,YES,False
meta-llama/Llama-3.1-8B-Instruct,music,overinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,music,underinclusion,YES,False
meta-llama/Llama-3.1-8B-Instruct,music,compliance,NO,False
