system_name,scenario,condition,response,malformed
meta-llama/Llama-3.2-1B-Instruct,sleep,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,sleep,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,sleep,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,sleep,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,driving,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,driving,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,driving,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,driving,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,library,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,library,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,library,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,library,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,classroom,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,classroom,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,classroom,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,classroom,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,shoes,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,shoes,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,shoes,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,shoes,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,environment,violation,YES,False
meta-llama/Llama-3.2-1B-Instruct,environment,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,environment,underinclusion,YES,False
meta-llama/Llama-3.2-1B-Instruct,environment,compliance,NO,False
meta-llama/Llama-3.2-1B-Instruct,music,violation,NO,False
meta-llama/Llama-3.2-1B-Instruct,music,overinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,music,underinclusion,NO,False
meta-llama/Llama-3.2-1B-Instruct,music,compliance,NO,False
